id,year,jday,min,tp_sfc,humid,press,rain,ws10_avg,ws10_std,wd10_avg,wd10_std
,,,,°C,%,mb,mm,m/s,m/s,deg,deg
,,,,tmo_aspira,hgr_aspira,bar_atmosf,plv_tipbuk,anm_sonico,anm_sonico,anm_sonico,anm_sonico
110,2012,122,0,23.08,58.69,905.31,0.0,1.391,0.09523654760647302,206.55,1.4320985572849991
110,2012,122,10,22.82,62.47,905.31,0.0,1.3605,0.08695496918903872,201.5,0.9861575262941854
110,2012,122,20,22.82,64.79,905.32,0.0,1.4267,0.12970312255300565,202.4,1.344551143608073
110,2012,122,30,22.7,65.85,905.38,0.0,1.5678000000000003,0.21554210725517184,199.85000000000002,2.26450902208649
110,2012,122,40,22.74,66.81,905.44,0.0,1.5461,0.20221025910890092,204.3,1.2332190262344591
110,2012,122,50,22.37,69.3,905.38,0.0,1.5303000000000002,0.195028231574588,196.89999999999998,1.7516623850248976
110,2012,122,60,22.34,70.7,905.38,0.0,1.6205000000000003,0.2320178393524467,192.05,0.9517912936493306
110,2012,122,70,22.27,71.8,905.38,0.0,1.8985999999999996,0.25693068671876806,195.1,1.669484284974788
110,2012,122,80,22.08,73.3,905.44,0.0,2.3509,0.250613225686293,201.15,2.914709735881851
110,2012,122,90,21.8,75.5,905.5,0.0,2.4487,0.28516975451279686,201.5,1.945628718720792
110,2012,122,100,21.57,77.5,905.51,0.0,2.2832999999999997,0.37388740135084614,197.7,2.585489422828017
110,2012,122,110,21.5,78.8,905.33,0.0,1.9102000000000003,0.12300478762136778,196.45,2.489021449842845
110,2012,122,120,21.42,79.4,905.39,0.0,2.1930000000000005,0.28865242459092927,189.25,1.4228925937446342
110,2012,122,130,21.42,79.4,905.45,0.0,2.0396,0.2387635743668712,194.95,1.920254612747428
110,2012,122,140,21.34,79.1,905.64,0.0,1.8437000000000001,0.2532609765088617,193.8,1.81065028220373
110,2012,122,150,21.29,79.7,905.7,0.0,1.9739999999999998,0.27060590450977884,199.95,1.1285467548036183
110,2012,122,160,21.08,81.3,905.76,0.0,2.12,0.372352580821517,202.4,1.3955998312155564
110,2012,122,170,20.93,82.2,905.77,0.0,2.3904,0.3244661256073839,206.05,1.0975751049978817
110,2012,122,180,20.86,83.2,905.65,0.0,2.2012,0.32889099849173237,202.35,2.2048643193327493
110,2012,122,190,20.75,83.0,905.65,0.0,2.1123999999999996,0.18648276655557788,199.5,1.651316309964737
110,2012,122,200,20.68,83.4,905.59,0.0,2.0316,0.27989410696031286,190.05,2.2491926946746426
110,2012,122,210,20.47,84.1,905.54,0.0,2.3128,0.23850776833377066,192.39999999999998,2.038485548963577
110,2012,122,220,20.36,83.9,905.48,0.0,2.1222000000000003,0.2753945855999676,182.39999999999998,1.8126791099241906
110,2012,122,230,20.21,84.4,905.37,0.0,2.0056000000000003,0.19395486301943776,173.85,1.332159483278517
110,2012,122,240,20.08,84.6,905.25,0.0,2.1352,0.30683719896170775,179.65,2.8034233041448138
110,2012,122,250,19.85,84.9,905.18,0.0,1.8857,0.3403253508694943,182.0,1.997122652439977
110,2012,122,260,19.67,85.5,905.12,0.0,2.052,0.37570023511659756,181.75,1.3995098348271005
110,2012,122,270,19.6,85.1,904.94,0.0,2.0562,0.32192262700496493,173.7,1.0533945129912157
110,2012,122,280,19.52,85.6,904.89,0.0,2.1834,0.20952231384747527,170.0,2.180092760513746
110,2012,122,290,19.59,84.9,904.77,0.0,1.8205000000000002,0.5103789986100742,174.35,5.082304376734807
110,2012,122,300,19.67,85.0,904.72,0.0,1.6469,0.33989947860441866,170.95,2.224187492096833
110,2012,122,310,19.62,84.7,904.78,0.0,1.7423000000000002,0.37276327012670596,169.3,2.0518923515190126
110,2012,122,320,19.47,85.1,904.84,0.0,1.5188,0.23910983064506372,163.45,3.1938211179296396
110,2012,122,330,19.29,85.5,904.79,0.0,1.5605,0.3227394029588303,163.5,3.0769358856571003
110,2012,122,340,19.19,85.1,904.66,0.0,1.2833999999999999,0.2637112056777261,172.15,3.3795892255322
110,2012,122,350,19.0,85.0,904.67,0.0,1.9524000000000001,0.5619201604024068,169.25,3.426942433780358
110,2012,122,360,18.72,86.3,904.67,0.0,2.2053,0.20110199181288868,169.14999999999998,2.136020183009098
110,2012,122,370,18.5,87.3,904.49,0.0,2.0112,0.5060858073928219,178.0,1.3078264410845961
110,2012,122,380,18.46,87.5,904.56,0.0,1.3959,0.2471645650618677,168.10000000000002,2.4738130711739545
110,2012,122,390,18.24,87.7,904.56,0.0,1.4505000000000001,0.26988032327105455,162.5,3.2820549118569673
110,2012,122,400,18.13,87.9,904.51,0.0,1.5273,0.13119455442628375,157.5,1.5965505037771628
110,2012,122,410,18.03,88.2,904.45,0.0,1.6908,0.30470050869665444,157.55,1.655830104006245
110,2012,122,420,18.05,88.7,904.57,0.0,1.6078,0.1379152718962705,174.5,2.0926708081088896
110,2012,122,430,18.19,87.7,904.63,0.0,2.0171,0.18030680642849994,166.15,2.5409099419958463
110,2012,122,440,18.13,87.1,904.63,0.0,1.9096999999999997,0.364160846635415,153.89999999999998,2.22768845068904
110,2012,122,450,17.98,88.3,904.63,0.0,1.7967000000000002,0.16435533997341792,157.0,1.6257429071043181
110,2012,122,460,17.83,88.7,904.64,0.0,1.8691000000000002,0.17262898559241627,160.3,1.8880398418583342
110,2012,122,470,17.87,88.8,904.71,0.0,1.8113,0.21211058436579727,162.65,1.04342438367351
110,2012,122,480,17.84,88.4,904.83,0.0,2.0069,0.1640490780224016,163.35000000000002,2.224025629348727
110,2012,122,490,17.71,88.4,904.96,0.0,1.8474,0.11858630237557423,168.55,1.7675167765980486
