id,year,jday,min,tp_sfc,humid,press,rain,ws10_avg,ws10_std,wd10_avg,wd10_std
,,,,°C,%,mb,mm,m/s,m/s,deg,deg
,,,,tmo_aspira,hgr_aspira,bar_atmosf,plv_tipbuk,anm_sonico,anm_sonico,anm_sonico,anm_sonico
110,2012,245,0,23.89,31.16,907.52,0.0,1.159,0.17754185734950262,170.35,0.7771236137906958
110,2012,245,10,23.66,31.81,907.64,0.0,1.1480000000000001,0.09727395449051227,182.0,0.9983297161871033
110,2012,245,20,23.43,32.42,907.71,0.0,1.3339999999999999,0.1545027867422174,182.05,1.0350678990073818
110,2012,245,30,23.47,32.01,907.83,0.0,1.154,0.12729667884294724,183.0,1.2287613456015143
110,2012,245,40,23.38,32.09,907.96,0.0,1.068,0.15711283984590324,185.60000000000002,0.7489726296734751
110,2012,245,50,23.14,32.93,907.96,0.0,0.9269999999999999,0.06447221623821121,181.39999999999998,1.3485778517468772
110,2012,245,60,22.83,33.79,908.03,0.0,1.1099999999999999,0.1049867716534908,183.39999999999998,1.1127049124643162
110,2012,245,70,22.83,33.66,908.09,0.0,1.1540000000000004,0.07862710869809612,182.9,1.1575817705698184
110,2012,245,80,22.81,33.76,908.15,0.0,1.0989999999999998,0.11751595636338076,178.05,1.2818341893118979
110,2012,245,90,22.65,34.01,908.15,0.0,1.321,0.16427957200387924,177.0,1.5515902236809247
110,2012,245,100,22.79,33.76,908.03,0.0,1.282,0.20454828280872955,175.6,1.7654511541749827
110,2012,245,110,22.75,33.76,908.03,0.0,1.323,0.19966917082458627,182.64999999999998,1.902369575030046
110,2012,245,120,22.81,33.11,907.97,0.0,1.3219999999999998,0.15668794181784093,181.35000000000002,1.1234352080412409
110,2012,245,130,22.88,32.8,908.03,0.0,1.5459999999999998,0.17920813473599784,189.2,1.1312038818100927
110,2012,245,140,22.7,33.08,907.98,0.0,1.4349999999999998,0.1753250948634818,187.2,1.673123824865731
110,2012,245,150,22.7,33.14,908.03,0.0,1.512,0.1908926399838401,186.15,1.7891913132908834
110,2012,245,160,22.5,33.25,908.04,0.0,1.465,0.05759050847723666,183.5,0.9836756466324548
110,2012,245,170,22.53,33.35,908.03,0.0,1.2069999999999999,0.11614645926587681,180.2,1.3127498703950509
110,2012,245,180,22.25,33.94,908.03,0.0,1.2159999999999997,0.14569374271624252,184.05,1.3550645741070795
110,2012,245,190,22.24,33.85,908.1,0.0,1.269,0.10060373308735172,180.75,1.1982807127992452
110,2012,245,200,22.02,34.76,907.92,0.0,1.161,0.12653062870309298,161.85,1.5123947162621856
110,2012,245,210,21.59,35.92,907.67,0.0,1.2719999999999998,0.1525924128010447,169.3,1.6806351312656902
110,2012,245,220,21.69,35.53,907.49,0.0,1.3539999999999996,0.19004093126365054,179.65,1.408343786943452
110,2012,245,230,21.77,35.13,907.31,0.0,1.3960000000000001,0.1233063033443321,182.25,1.097139715603968
110,2012,245,240,21.81,34.75,907.13,0.0,1.419,0.08862530363527367,184.95,1.4424223453005094
110,2012,245,250,21.79,34.68,907.07,0.0,1.456,0.2053290042833696,187.15,0.8898820146513803
110,2012,245,260,22.07,33.9,906.94,0.0,1.208,0.15468965346424723,171.64999999999998,1.7666339619614357
110,2012,245,270,21.45,35.83,906.82,0.0,1.1149999999999998,0.17852793121027932,167.4,1.3518892130808808
110,2012,245,280,21.31,35.9,906.82,0.0,1.082,0.21606583358884962,181.95,1.9157142561225335
110,2012,245,290,21.58,35.41,906.7,0.0,1.4000000000000001,0.13888444437333106,179.75,1.6846658092597742
110,2012,245,300,21.66,35.36,906.58,0.0,1.2,0.092135166407235,174.60000000000002,0.6906164717924926
110,2012,245,310,21.18,36.91,906.46,0.0,1.089,0.0887505868525199,173.45,1.4630489473090846
110,2012,245,320,21.02,37.51,906.46,0.0,1.2550000000000003,0.09288583195395181,184.25,1.5833792975784418
110,2012,245,330,21.18,37.09,906.28,0.0,1.3800000000000001,0.14181364924121764,193.2,1.2055745518216614
110,2012,245,340,21.25,36.81,906.34,0.0,1.234,0.16587813465178458,190.45,0.9917464953863517
110,2012,245,350,21.28,36.16,906.34,0.0,1.079,0.1351090094865788,175.15,2.3866666666666667
110,2012,245,360,21.08,37.3,906.28,0.0,1.239,0.13025189271390858,173.3,0.8441886308429206
110,2012,245,370,21.05,36.86,906.34,0.0,1.334,0.06785605679999718,178.85,0.5689600649918722
110,2012,245,380,21.18,36.39,906.28,0.0,1.379,0.11985639555549624,186.45,1.0038614335543417
110,2012,245,390,21.17,36.02,906.28,0.0,1.1960000000000002,0.10308572484426091,182.5,1.7508096539728255
110,2012,245,400,21.13,35.61,906.29,0.0,1.1280000000000001,0.2190281564852641,184.5,1.3493109352554735
110,2012,245,410,21.1,35.86,906.23,0.0,1.065,0.09395625459636936,182.7,2.3063256009891093
110,2012,245,420,20.99,35.64,906.29,0.0,1.095,0.08017342313870468,181.3,1.2352849423873384
110,2012,245,430,21.2,34.6,906.35,0.0,0.924,0.1484886826963216,177.85,1.58727754346869
110,2012,245,440,21.02,35.08,906.35,0.0,0.897,0.09250225222483323,178.3,1.346444288569795
110,2012,245,450,20.9,35.56,906.47,0.0,1.042,0.1118332091405172,186.95,1.5275997876116345
110,2012,245,460,20.95,35.47,906.53,0.0,1.3739999999999999,0.13993649353268148,192.2,1.0186396156966737
110,2012,245,470,20.82,34.82,906.53,0.0,1.377,0.09428679653058525,193.1,0.9202710953240294
110,2012,245,480,21.05,34.12,906.53,0.0,1.1720000000000002,0.1556920036482285,190.8,2.0399684093414563
110,2012,245,490,21.0,34.82,906.71,0.0,1.214,0.161877868914946,179.45,1.9688025125271795
