id,year,jday,min,tp_sfc,humid,press,rain,ws10_avg,ws10_std,wd10_avg,wd10_std
,,,,°C,%,mb,mm,m/s,m/s,deg,deg
,,,,tmo_aspira,hgr_aspira,bar_atmosf,plv_tipbuk,anm_sonico,anm_sonico,anm_sonico,anm_sonico
110,2012,306,0,22.0,73.1,901.63,0.0,1.3629000000000002,0.13550928627465597,282.0,1.5758867838634714
110,2012,306,10,22.13,72.8,901.57,0.0,1.3695,0.1945674690178191,280.7,1.485569344654694
110,2012,306,20,22.21,71.1,901.75,0.0,1.2113999999999998,0.22862740187669725,283.05,2.3202371167141043
110,2012,306,30,22.38,69.52,901.76,0.0,1.3301,0.12835233625541156,277.6,1.9864823740024025
110,2012,306,40,22.48,70.6,901.89,0.0,1.5929,0.17357127898615277,279.15,1.185540664282194
110,2012,306,50,22.66,68.7,901.77,0.0,1.2155,0.1532675583561128,282.15,1.862695851000193
110,2012,306,60,22.43,70.8,902.08,0.0,1.4061,0.37700470082539345,58.515,5.267188851750048
110,2012,306,70,20.88,80.1,902.38,0.0,1.906,0.3845941583886405,66.59,1.0557605210357974
110,2012,306,80,21.35,76.9,903.04,0.0,1.9044,0.42570652384529484,66.935,1.530439065540779
110,2012,306,90,21.66,71.9,903.1,0.0,0.7131000000000001,0.33105368816015995,49.67,2.93764770597913
110,2012,306,100,21.76,71.9,902.93,0.0,0.5206,0.21537832347342253,311.95,11.728676159074578
110,2012,306,110,22.5,62.75,902.75,0.0,0.6506000000000001,0.17945980670395867,334.20000000000005,5.96440255366975
110,2012,306,120,22.58,63.48,902.63,0.0,0.937,0.06590059854727336,314.15,3.889334603188
110,2012,306,130,22.42,65.37,902.32,0.0,0.4698999999999999,0.175969347078152,298.70000000000005,5.5814274916408655
110,2012,306,140,22.38,65.94,902.5,0.0,0.40360000000000007,0.09023697197441363,281.54999999999995,6.438850867110442
110,2012,306,150,22.17,67.96,902.38,0.0,0.8033000000000001,0.22832873474688004,285.95,2.864314065647597
110,2012,306,160,22.09,69.56,902.38,0.0,1.1888,0.1948542475230596,321.55,2.099236644327859
110,2012,306,170,21.69,74.2,902.08,0.0,1.5171,0.18104416281363206,308.65,2.4307681479089873
110,2012,306,180,21.76,71.6,902.08,0.0,0.8848,0.4999566203404274,283.45,5.4314244509766185
110,2012,306,190,22.23,68.46,902.5,0.0,2.1058,0.571553011053607,140.9,2.5001566084280933
110,2012,306,200,21.9,69.04,902.74,0.0,1.4913999999999998,0.35603127203472823,143.60000000000002,2.461497421399331
110,2012,306,210,22.36,68.06,902.85,0.0,1.7395,0.30404358240226026,141.75,2.5927467652836613
110,2012,306,220,22.17,70.1,902.98,0.762,2.4132,0.7148199151612321,135.4,1.358659637698534
110,2012,306,230,20.69,80.3,903.04,1.27,2.2354,0.16373569487982081,117.8,1.958153055531893
110,2012,306,240,20.03,85.9,902.98,2.54,2.1605,0.6643077014623738,70.93,13.81964125961468
110,2012,306,250,19.68,88.9,902.44,0.254,1.3279,0.5615900936923063,268.15,5.840282432287747
110,2012,306,260,19.77,87.7,902.87,1.016,1.3264,0.42945034637312846,282.0,2.4390412711190894
110,2012,306,270,19.6,87.1,902.93,0.508,1.9155000000000002,0.20860022904003614,320.29999999999995,2.5843023128969342
110,2012,306,280,19.29,87.5,902.81,0.508,2.2403999999999997,0.2827897530753978,315.95,1.6934881851767771
110,2012,306,290,18.83,87.3,902.57,0.254,2.1971999999999996,0.13424753256577948,313.25,1.1908279099479953
110,2012,306,300,18.91,90.8,902.2,0.0,1.6538,0.11698413947578068,322.9,2.331552055796501
110,2012,306,310,18.93,91.7,902.14,0.0,1.9771999999999998,0.4651372079529032,322.75,3.291051370340825
110,2012,306,320,18.89,92.2,901.9,0.254,2.2082999999999995,0.19075525331341905,296.25,1.746202358771107
110,2012,306,330,19.08,91.7,901.6,0.0,2.3947,0.0792072527543335,287.0,1.0400646347436509
110,2012,306,340,19.52,85.6,901.29,0.0,2.0979,0.14231299620515642,288.25,1.4324651013782732
110,2012,306,350,19.95,81.4,901.05,0.0,1.8520000000000003,0.2196800704054268,283.0,1.6822811364995514
110,2012,306,360,20.01,80.6,900.93,0.0,1.8633,0.6306679087373253,283.85,5.999288499480584
110,2012,306,370,19.96,81.5,902.02,0.254,1.8938000000000006,0.772125033052722,187.15,7.051116945405018
110,2012,306,380,20.74,73.3,901.9,0.508,2.192,0.4153130011074646,209.2,4.728120567413652
110,2012,306,390,20.15,80.1,902.08,0.0,1.6872,0.19227803942323848,220.14999999999998,1.9434974201738016
110,2012,306,400,20.1,80.7,902.32,0.0,2.0235999999999996,0.45423151219027796,226.0,2.22325687024939
110,2012,306,410,19.83,83.2,902.21,1.27,2.9467999999999996,0.28596417802079876,232.3,1.5722697676360191
110,2012,306,420,19.67,83.9,901.96,0.762,2.8241000000000005,0.37686969454529873,226.35,1.351067067995598
110,2012,306,430,19.64,83.3,902.03,0.254,2.5051000000000005,0.22757975403019595,224.3,1.1705464061236055
110,2012,306,440,19.49,83.1,901.96,0.254,2.2207,0.17318394203210005,230.15,1.4304777756633156
110,2012,306,450,19.14,84.2,901.85,0.254,1.9286999999999999,0.2167236079023746,216.5,1.0167566954673952
110,2012,306,460,19.24,83.8,901.96,0.508,1.7193,0.17191280089368308,220.64999999999998,1.0046553914430338
110,2012,306,470,19.06,84.8,901.91,0.762,1.6472000000000002,0.07405073335971166,217.75,0.6231113686796108
110,2012,306,480,19.03,83.6,902.09,0.762,1.4631,0.15646969887702442,212.0,2.4298250142757194
